concurrency,batch_size,duration_seconds,total_requests,success_requests,success_rate_pct,error_rate_pct,e2e_ms_p50,e2e_ms_p95,e2e_ms_mean,req_per_sec,samples_per_sec,server_ms_mean
1,5000,60,58,58,100.0,0.0,1020.3588,1179.6745,1036.5549,0.9667,4833.3333,503.9324
2,5000,60,86,86,100.0,0.0,1447.8796,1564.16,1425.6705,1.4333,7166.6667,916.2695
4,5000,60,112,112,100.0,0.0,2215.3424,2486.1252,2166.4752,1.8667,9333.3333,1614.03
8,5000,60,116,116,100.0,0.0,4290.2128,4668.1379,4242.5775,1.9333,9666.6667,3619.1262
16,5000,60,119,119,100.0,0.0,8675.412,9575.2122,8471.6598,1.9833,9916.6667,7687.8389
32,5000,60,128,128,100.0,0.0,17150.6081,20614.5213,17103.0266,2.1333,10666.6667,15697.5193
64,5000,60,215,62,28.84,71.16,31760.1758,45553.3774,33471.8538,1.0333,5166.6667,24725.3126
128,5000,60,444,17,3.83,96.17,58434.6312,60419.8048,54325.8464,0.2833,1416.6667,22696.2465
256,5000,60,1352,49,3.62,96.38,47455.6374,57962.5179,43923.7148,0.8167,4083.3333,23710.0736
512,5000,60,2313,11,0.48,99.52,29069.775,38415.2637,29439.7017,0.1833,916.6667,25803.0149
1024,5000,60,7576,2,0.03,99.97,4127.3212,5982.4622,4127.3212,0.0333,166.6667,550.3259
